Name 	Net worth 	Sources of wealth
Bernard Arnault 	21.24 billion  	LVMH
Gérard Mulliez & family 	21.00 billion  	Auchan
Liliane Bettencourt & family 	17.50 billion  	L'Oréal
Bertrand Puech & family 	12.20 billion  	Hermès
François Pinault & family 	8.10 billion  	PPR
Serge Dassault & family 	7.50 billion  	Dassault
Louis-Dreyfus family 	6.60 billion  	Louis-Dreyfus Group
Alain Wertheimer & family 	4.50 billion  	Chanel
Pierre Castel & family 	4.50 billion  	Groupe Castel
Vincent Bolloré 	3.80 billion  	Bolloré

Source: Wikipedia